step_num,-gneE0,-gneE1,-gneE2,-gneE3
428,248.0,916.0,161.0,907.0
429,261.0,863.0,173.0,845.0
430,275.0,807.0,184.0,790.0
431,290.0,752.0,195.0,805.0
432,302.0,697.0,209.0,745.0
433,318.0,711.0,224.0,758.0
434,333.0,723.0,241.0,700.0
435,348.0,664.0,256.0,646.0
436,364.0,679.0,270.0,658.0
437,381.0,689.0,285.0,670.0
438,398.0,700.0,300.0,683.0
439,415.0,712.0,318.0,695.0
440,428.0,724.0,334.0,706.0
441,446.0,736.0,352.0,718.0
442,463.0,748.0,372.0,731.0
443,480.0,760.0,391.0,742.0
444,498.0,773.0,409.0,755.0
445,517.0,786.0,428.0,766.0
446,537.0,796.0,449.0,778.0
447,557.0,808.0,468.0,790.0
448,578.0,820.0,488.0,802.0
449,600.0,832.0,509.0,814.0
450,622.0,754.0,528.0,737.0
451,641.0,681.0,550.0,660.0
452,662.0,691.0,570.0,585.0
453,684.0,619.0,592.0,595.0
454,707.0,547.0,612.0,603.0
455,729.0,556.0,633.0,530.0
456,750.0,486.0,656.0,384.0
457,773.0,417.0,679.0,392.0
458,796.0,347.0,703.0,399.0
459,820.0,280.0,725.0,332.0
460,844.0,287.0,749.0,264.0
461,868.0,293.0,773.0,270.0
462,892.0,301.0,797.0,205.0
463,916.0,234.0,821.0,143.0
464,940.0,168.0,845.0,148.0
465,964.0,175.0,869.0,88.0
466,988.0,112.0,893.0,26.0
467,1012.0,49.0,917.0,28.0
468,1036.0,56.0,941.0,33.0
469,1060.0,61.0,965.0,38.0
470,1084.0,70.0,989.0,44.0
471,1108.0,78.0,1013.0,48.0
472,1132.0,88.0,1037.0,54.0
473,1156.0,96.0,1061.0,62.0
474,1180.0,104.0,1085.0,68.0
475,1204.0,116.0,1109.0,76.0
476,1228.0,126.0,1133.0,85.0
477,1252.0,134.0,1157.0,91.0
478,1276.0,141.0,1181.0,101.0
479,1300.0,152.0,1205.0,109.0
480,1235.0,161.0,1144.0,118.0
481,1170.0,173.0,1088.0,128.0
482,1192.0,186.0,1031.0,139.0
483,1129.0,199.0,981.0,150.0
484,1066.0,212.0,1001.0,162.0
485,1005.0,225.0,950.0,172.0
486,1024.0,238.0,969.0,184.0
487,963.0,251.0,916.0,196.0
488,901.0,264.0,934.0,208.0
489,841.0,278.0,883.0,220.0
490,784.0,293.0,900.0,232.0
491,724.0,306.0,846.0,245.0
492,669.0,320.0,791.0,258.0
493,611.0,334.0,736.0,273.0
494,625.0,348.0,687.0,286.0
495,637.0,362.0,637.0,301.0
496,647.0,377.0,649.0,316.0
497,657.0,393.0,660.0,330.0
498,669.0,406.0,672.0,345.0
499,682.0,422.0,684.0,359.0
500,694.0,440.0,696.0,374.0
501,706.0,457.0,708.0,392.0
502,717.0,475.0,720.0,408.0
503,729.0,493.0,732.0,425.0
504,741.0,512.0,744.0,443.0
505,754.0,531.0,756.0,461.0
